data_esecuzione,metodo,backend,num_righe,stopwatch_sec,strategy_json
2026-02-25T09:49:15.199728+00:00,missing,PANDAS,1000000,0.20478690500021912,"{""affected_features"": [""target""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T09:49:16.974492+00:00,missing,SPARK,1000000,1.7744791069999337,"{""affected_features"": [""target""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"

2026-02-25T09:49:53.204016+00:00,noise,PANDAS,1000000,36.228911549995246,"{""affected_features"": [""f1""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T09:49:57.311735+00:00,noise,SPARK,1000000,4.107491574999585,"{""affected_features"": [""f1""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T09:58:16.048079+00:00,noise,PANDAS,1000000,498.73586691299715,"{""affected_features"": [""f2""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T09:58:19.619566+00:00,noise,SPARK,1000000,3.571217439995962,"{""affected_features"": [""f2""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T10:23:12.628038+00:00,noise,PANDAS,1000000,1493.0079054180023,"{""affected_features"": [""f3""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T10:23:16.160622+00:00,noise,SPARK,1000000,3.532309104994056,"{""affected_features"": [""f3""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T10:48:10.261644+00:00,noise,PANDAS,1000000,1494.100438909998,"{""affected_features"": [""f4""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T10:48:13.740627+00:00,noise,SPARK,1000000,3.4787010710060713,"{""affected_features"": [""f4""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T10:56:27.020446+00:00,noise,PANDAS,1000000,493.2792560769958,"{""affected_features"": [""f5""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T10:56:30.856207+00:00,noise,SPARK,1000000,3.835495961000561,"{""affected_features"": [""f5""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T11:39:05.320320+00:00,noise,PANDAS,1000000,2554.4635746819986,"{""affected_features"": [""date""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T11:40:05.889468+00:00,noise,SPARK,1000000,60.56887606700184,"{""affected_features"": [""date""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T11:48:27.914750+00:00,noise,PANDAS,1000000,502.0247507840031,"{""affected_features"": [""target""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T11:48:31.322248+00:00,noise,SPARK,1000000,3.407236658000329,"{""affected_features"": [""target""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"

2026-02-25T11:48:58.371185+00:00,outlier,PANDAS,1000000,27.04844450300152,"{""affected_features"": [""f1""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T11:56:57.832680+00:00,outlier,PANDAS,1000000,475.1338174890043,"{""affected_features"": [""f2""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T12:22:14.620245+00:00,outlier,PANDAS,1000000,1514.0719899920005,"{""affected_features"": [""f3""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T12:47:48.585099+00:00,outlier,PANDAS,1000000,1511.3715734340003,"{""affected_features"": [""f4""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T12:56:12.856135+00:00,outlier,PANDAS,1000000,481.5490940719974,"{""affected_features"": [""f5""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T13:31:14.702309+00:00,outlier,PANDAS,1000000,2079.095728225002,"{""affected_features"": [""date""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-25T13:39:27.071748+00:00,outlier,PANDAS,1000000,469.6418860900012,"{""affected_features"": [""target""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-26T11:14:26.162128+00:00,outlier,SPARK,1000000,8.244176172011066,"{""affected_features"": [""f1""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-26T11:14:32.950458+00:00,outlier,SPARK,1000000,6.787999079009751,"{""affected_features"": [""f2""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-26T11:14:35.768665+00:00,outlier,SPARK,1000000,2.817877283989219,"{""affected_features"": [""f3""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-26T11:14:38.507200+00:00,outlier,SPARK,1000000,2.7382132580096368,"{""affected_features"": [""f4""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
2026-02-26T11:14:43.376308+00:00,outlier,SPARK,1000000,4.8688174429989886,"{""affected_features"": [""f5""], ""mode"": ""new"", ""percentage"": 0.5, ""perturbate_data"": {""distribution"": ""random""}, ""selection_criteria"": ""all""}"
